date,CHUBU,"CHUGOKU, SHIKOKU",HOKKAIDO,KANTO,KINKI,"KYUSHU, OKINAWA.",NEAR JAPAN,TOHOKU
2010-11-01,175700.00000000012,96473.50000000009,217857.09999999977,300022.99999999977,150882.30000000002,409573.7999999995,94286.39999999998,315563.09999999974
2010-12-01,176570.9000000001,96952.80000000009,218947.99999999977,301403.8999999998,151784.30000000002,412646.0999999995,96538.59999999998,317654.49999999977
2011-01-01,177448.2000000001,97437.9000000001,220151.59999999977,302972.8999999998,152713.30000000002,415336.9999999995,98178.59999999998,319701.09999999974
2011-02-01,179125.6000000001,97847.0000000001,221227.29999999978,304423.8999999998,153457.40000000002,418454.89999999944,99056.99999999997,321726.39999999973
2011-03-01,187973.10000000012,98393.2000000001,222514.3999999998,335258.0999999998,154377.7,421887.4999999994,102406.89999999997,376912.39999999985
2011-04-01,191247.8000000001,98870.8000000001,223602.3999999998,355789.4999999997,155239.1,427527.4999999994,104720.19999999997,437919.4000000008
2011-05-01,193190.1000000001,99381.10000000011,224635.0999999998,371005.19999999966,156203.9,431416.69999999943,106966.19999999997,468461.8000000007
2011-06-01,195133.1000000001,100200.5000000001,225787.2999999998,380136.79999999964,156944.69999999998,434568.69999999943,108716.49999999997,483132.9000000006
2011-07-01,196847.80000000008,100693.10000000011,226964.6999999998,387685.19999999966,158049.19999999998,437518.69999999943,110263.29999999997,495196.2000000006
2011-08-01,199097.40000000008,101181.0000000001,228318.9999999998,395336.8999999997,158909.59999999998,441078.69999999943,111803.29999999997,507367.3000000006
2011-09-01,200369.70000000007,101568.4000000001,229862.1999999998,402408.19999999966,159612.3,444065.09999999945,112973.39999999998,517985.9000000006
2011-10-01,202982.20000000007,102065.80000000009,231093.2999999998,408783.19999999966,160729.69999999998,447403.69999999943,114337.29999999997,527876.1000000007
2011-11-01,204358.20000000007,103068.4000000001,232159.0999999998,415787.5999999997,161644.8,450328.09999999945,115505.09999999998,536993.6000000007
